"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Tot Deaths/
1M pop"
Afghanistan,110,,4,,2,104,,3,0.1
Albania,186,,8,,31,147,3,65,3
Algeria,409,,26,,29,354,,9,0.6
Andorra,267,,3,,1,263,11,"3,456",39
Angola,4,,,,,4,,0.1,
Anguilla,2,,,,,2,,133,
Antigua and Barbuda,7,,,,,7,,71,
Argentina,690,+101,17,+4,72,601,,15,0.4
Armenia,329,,1,,28,300,6,111,0.3
Aruba,33,,,,1,32,,309,
Australia,"3,573",+195,14,+1,170,"3,389",23,140,0.5
Austria,"7,697",,58,,225,"7,414",128,855,6
Azerbaijan,165,,3,,15,147,6,16,0.3
Bahamas,10,,,,1,9,,25,
Bahrain,466,,4,,227,235,1,274,2
Bangladesh,48,,5,,11,32,1,0.3,0.03
Barbados,26,,,,,26,,90,
Belarus,94,,,,32,62,2,10,
Belgium,"7,284",,289,,858,"6,137",690,628,25
Belize,2,,,,,2,,5,
Benin,6,,,,,6,,0.5,
Bermuda,17,,,,2,15,,273,
Bhutan,3,,,,,3,,4,
Bolivia,74,+13,,,,74,,6,
Bosnia and Herzegovina,237,,4,,5,228,1,72,1
Brazil,"3,477",+60,93,+1,6,"3,378",296,16,0.4
British Virgin Islands,2,,,,,2,,66,
Brunei,115,,1,+1,11,103,1,263,2
Bulgaria,293,,3,,9,281,8,42,0.4
Burkina Faso,180,,9,,12,159,,9,0.4
Cabo Verde,5,,1,,,4,,9,2
Cambodia,99,,,,13,86,1,6,
Cameroon,91,,2,,2,87,,3,0.08
Canada,"4,757",,55,,354,"4,348",120,126,1
CAR,3,,,,,3,,0.6,
Cayman Islands,8,,1,,,7,,122,15
Chad,3,,,,,3,,0.2,
Channel Islands,88,,1,,,87,,506,6
Chile,"1,610",,5,,43,"1,562",7,84,0.3
China,"81,394",+54,"3,295",+3,"74,971","3,128",886,57,2
Colombia,539,,6,,10,523,,11,0.1
Congo,4,,,,,4,,0.7,
Costa Rica,263,,2,,3,258,5,52,0.4
Croatia,586,,3,,37,546,14,143,0.7
Cuba,80,,2,,4,74,2,7,0.2
Curaçao,8,,1,,2,5,,49,6
Cyprus,162,,5,,15,142,3,134,4
Czechia,"2,279",,9,,11,"2,259",34,213,0.8
Denmark,"2,046",,52,,1,"1,993",109,353,9
Diamond Princess,712,,10,,597,105,15,,
Djibouti,12,,,,,12,,12,
Dominica,11,,,,,11,,153,
Dominican Republic,581,,20,,3,558,,54,2
DRC,51,,3,,2,46,,0.6,0.03
Ecuador,"1,627",,41,,3,"1,583",58,92,2
Egypt,536,,30,,116,390,,5,0.3
El Salvador,19,+6,,,,19,,3,
Equatorial Guinea,12,,,,,12,,9,
Eritrea,6,,,,,6,,2,
Estonia,575,,1,,11,563,7,433,0.8
Eswatini,9,,,,,9,,8,
Ethiopia,16,,,,,16,,0.1,
Faeroe Islands,144,,,,54,90,2,"2,947",
Fiji,5,,,,,5,,6,
Finland,"1,041",,7,,10,"1,024",32,188,1
France,"32,964",,"1,995",,"5,700","25,269","3,787",505,31
French Guiana,28,,,,6,22,,94,
French Polynesia,30,,,,,30,,107,
Gabon,7,,1,,,6,,3,0.4
Gambia,3,,1,,,2,,1,0.4
Georgia,83,,,,14,69,1,21,
Germany,"50,871",,351,,"6,658","43,862","1,581",607,4
Ghana,137,,4,,2,131,1,4,0.1
Gibraltar,55,,,,14,41,,"1,632",
Greece,966,,28,,52,886,66,93,3
Greenland,10,,,,2,8,,176,
Grenada,7,,,,,7,,62,
Guadeloupe,73,,1,,,72,4,182,2
Guatemala,32,+4,1,,4,27,1,2,0.06
Guinea,8,,,,,8,,0.6,
Guinea-Bissau,2,,,,,2,,1,
Guyana,5,,1,,,4,,6,1
Haiti,8,,,,,8,,0.7,
Honduras,95,+27,1,,3,91,4,10,0.1
Hong Kong,519,,4,,111,404,5,69,0.5
Hungary,300,,10,,34,256,6,31,1
Iceland,890,,2,,97,791,18,"2,608",6
India,887,,20,,73,794,,0.6,0.01
Indonesia,"1,046",,87,,46,913,,4,0.3
Iran,"32,332",,"2,378",,"11,133","18,821","2,893",385,28
Iraq,458,,40,,122,296,,11,1.0
Ireland,"2,121",,22,,5,"2,094",59,430,4
Isle of Man,29,,,,,29,,341,
Israel,"3,035",,12,,79,"2,944",49,351,1
Italy,"86,498",,"9,134",,"10,950","66,414","3,732","1,431",151
Ivory Coast,101,,,,3,98,,4,
Jamaica,30,+4,1,,2,27,,10,0.3
Japan,"1,499",,49,,372,"1,078",56,12,0.4
Jordan,235,,1,,18,216,,23,0.10
Kazakhstan,150,,1,,3,146,,8,0.05
Kenya,31,,1,,1,29,2,0.6,0.02
Kuwait,225,,,,57,168,11,53,
Kyrgyzstan,58,,,,,58,,9,
Laos,6,,,,,6,,0.8,
Latvia,280,,,,1,279,,148,
Lebanon,391,,8,,27,356,3,57,1
Liberia,3,,,,,3,,0.6,
Libya,1,,,,,1,,0.1,
Liechtenstein,56,,,,,56,,"1,469",
Lithuania,358,,5,,1,352,2,132,2
Luxembourg,"1,605",,15,,40,"1,550",25,"2,564",24
Macao,34,,,,10,24,,52,
Madagascar,26,,,,,26,,0.9,
Malaysia,"2,161",,26,,259,"1,876",54,67,0.8
Maldives,16,,,,9,7,,30,
Mali,11,,,,,11,,0.5,
Malta,139,,,,2,137,1,315,
Martinique,93,,1,,,92,12,248,3
Mauritania,5,+2,,,,5,,1,
Mauritius,94,,2,,,92,1,74,2
Mayotte,50,,,,,50,,183,
Mexico,717,+132,12,+4,4,701,1,6,0.09
Moldova,199,,2,,2,195,33,49,0.5
Monaco,42,,,,1,41,,"1,070",
Mongolia,12,+1,,,,12,,4,
Montenegro,82,,1,,,81,1,131,2
Montserrat,5,,,,,5,,"1,002",
Morocco,345,,23,,11,311,1,9,0.6
Mozambique,7,,,,,7,,0.2,
MS Zaandam,2,,,,,2,,,
Myanmar,8,,,,,8,,0.1,
Namibia,8,,,,2,6,,3,
Nepal,4,,,,1,3,,0.1,
Netherlands,"8,603",,546,,3,"8,054",761,502,32
New Caledonia,15,,,,,15,,53,
New Zealand,451,+83,,,50,401,2,94,
Nicaragua,4,,1,,,3,,0.6,0.2
Niger,10,,1,,,9,,0.4,0.04
Nigeria,70,,1,,3,66,,0.3,0.00
North Macedonia,219,,3,,3,213,1,105,1
Norway,"3,771",,19,,7,"3,745",70,696,4
Oman,131,,,,23,108,,26,
Pakistan,"1,373",,11,,23,"1,339",7,6,0.05
Palestine,91,,1,,17,73,,18,0.2
Panama,786,,14,,2,770,20,182,3
Papua New Guinea,1,,,,,1,,0.1,
Paraguay,56,+4,3,,1,52,1,8,0.4
Peru,635,,11,,16,608,21,19,0.3
Philippines,803,,54,,31,718,1,7,0.5
Poland,"1,389",,16,,7,"1,366",3,37,0.4
Portugal,"4,268",,76,,43,"4,149",71,419,7
Qatar,562,,,,43,519,6,195,
Romania,"1,292",,26,,115,"1,151",32,67,1
Russia,"1,036",,4,,45,987,8,7,0.03
Rwanda,54,,,,,54,,4,
Réunion,145,,,,1,144,,162,
S. Korea,"9,478",+146,144,+5,"4,811","4,523",59,185,3
Saint Kitts and Nevis,2,,,,,2,,38,
Saint Lucia,3,,,,1,2,,16,
Saint Martin,11,,,,,11,,284,
San Marino,223,,21,,6,196,15,"6,572",619
Saudi Arabia,"1,104",,3,,35,"1,066",6,32,0.09
Senegal,119,,,,11,108,,7,
Serbia,528,,8,,42,478,25,60,0.9
Seychelles,7,,,,,7,,71,
Singapore,732,,2,,183,547,17,125,0.3
Sint Maarten,3,,,,,3,,70,
Slovakia,269,,,,2,267,1,49,
Slovenia,632,,9,,10,613,14,304,4
Somalia,3,,,,,3,,0.2,
South Africa,"1,170",,1,,31,"1,138",7,20,0.02
Spain,"65,719",,"5,138",,"9,357","51,224","4,165","1,406",110
Sri Lanka,106,,,,7,99,5,5,
St. Barth,5,,,,,5,,506,
St. Vincent Grenadines,1,,,,,1,,9,
Sudan,5,+2,1,,,4,,0.1,0.02
Suriname,8,,,,,8,,14,
Sweden,"3,069",,105,,16,"2,948",214,304,10
Switzerland,"12,928",,231,,"1,530","11,167",203,"1,494",27
Syria,5,,,,,5,,0.3,
Taiwan,267,,2,,30,235,,11,0.08
Tanzania,13,,,,1,12,,0.2,
Thailand,"1,136",,5,,97,"1,034",11,16,0.07
Timor-Leste,1,,,,,1,,0.8,
Togo,25,,1,,1,23,,3,0.1
Trinidad and Tobago,66,,2,,1,63,,47,1
Tunisia,227,,7,,2,218,10,19,0.6
Turkey,"5,698",,92,,42,"5,564",241,68,1
Turks and Caicos,2,,,,,2,,52,
UAE,405,,2,,52,351,2,41,0.2
Uganda,23,,,,,23,,0.5,
UK,"14,543",,759,,135,"13,649",163,214,11
Ukraine,310,,5,,5,300,,7,0.1
Uruguay,274,+36,,,,274,8,79,
USA,"104,205",+79,"1,701",+5,"2,525","99,979","2,494",315,5
Uzbekistan,88,,1,,5,82,8,3,0.03
Vatican City,4,,,,,4,,"4,994",
Venezuela,113,,2,,31,80,2,4,0.07
Vietnam,169,+6,,,20,149,3,2,
Zambia,22,,,,,22,,1,
Zimbabwe,5,,1,,,4,,0.3,0.07
Total:,"597,267",955,"27,365",24,"133,363","436,539","23,559",76.6,3.5
